MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
1.144       22.9        0.948       0.4499      1.72        79.51       19.88       0.004438    0.6737      0.5046      0.1865      
1.593       73.24       0.9492      0.4973      2.026       55.84       13.96       0.005568    0.7527      1.355       0.5635      
3.511       30.57       0.9102      0.2466      1.742       36.43       9.107       0.005494    0.7491      0.7951      0.303       
1.571       14.54       0.9537      0.4703      1.518       34.89       8.723       0.004534    0.7266      0.4285      0.402       
2.821       17.66       0.9196      0.1576      1.689       76.92       19.23       0.007759    0.7807      0.2208      0.6002      
4.221       47.9        0.9031      0.1177      1.733       60.02       15.01       0.004092    0.7708      0.5257      0.2612      
1.945       46.54       0.931       0.189       1.917       37.42       9.356       0.00603     0.7613      0.9617      0.8969      
1.246       55.28       0.9521      0.4511      1.836       38.55       9.638       0.003513    0.7021      0.8473      0.5026      
1.481       21.55       0.9438      0.1921      2.006       49.66       12.42       0.004077    0.6735      0.5893      0.6832      
0.2267      35.69       0.9773      0.45        1.246       41.8        10.45       0.009996    0.6651      0.1453      0.5536      
0.9788      14.25       0.948       0.3889      1.714       70.75       17.69       0.01013     0.7885      1.015       0.05119     
0.4796      69.45       0.9724      0.4925      2.063       33.03       8.257       0.008063    0.7589      0.07758     0.5077      
0.4255      29.31       0.9718      0.2594      1.361       22.04       5.509       0.01053     0.631       0.231       0.8516      
0.4867      30.47       0.9611      0.1495      1.357       63.47       15.87       0.01018     0.7098      1.214       0.7848      
1.837       55.58       0.9566      0.4588      1.397       55.48       13.87       0.008731    0.6662      1.447       0.2519      
0.4582      21.1        0.9767      0.3078      2.129       56.66       14.16       0.01003     0.8144      0.05538     0.4797      
0.6227      58.24       0.9464      0.4101      1.459       80.78       20.2        0.007015    0.6098      0.9549      0.5368      
0.5517      19.24       0.9445      0.3274      1.702       53.59       13.4        0.009889    0.7537      1.633       0.2586      
0.8916      28.66       0.9691      0.2428      1.578       47.26       11.82       0.01022     0.8006      1.315       0.2986      
1.685       16.32       0.951       0.4165      2.028       77.56       19.39       0.003728    0.8148      0.849       0.8829      
0.7902      34.51       0.9675      0.4121      1.933       37.52       9.379       0.006288    0.7951      1.064       0.2349      
0.7453      55.42       0.9626      0.2988      1.848       34.11       8.527       0.01012     0.669       0.877       0.8704      
0.3357      11.23       0.9504      0.4153      1.478       68.78       17.2        0.00593     0.8128      1.57        0.5599      
1.466       56.33       0.9291      0.4902      1.762       27.21       6.803       0.004868    0.7983      0.3315      0.8734      
3.419       61.32       0.9138      0.2882      1.545       43.78       10.95       0.005172    0.7288      1.195       0.3674      
2.116       47.85       0.9293      0.4155      1.886       76.19       19.05       0.006687    0.7401      0.2543      0.5932      
1.676       63.29       0.9357      0.3943      1.366       49.78       12.44       0.008875    0.6324      0.4992      0.2022      
1.954       25.75       0.935       0.2593      1.764       33.56       8.39        0.005134    0.7881      0.9428      0.5696      
0.327       29.79       0.952       0.1015      2.051       49.54       12.38       0.007796    0.7072      0.6858      0.06247     
2.541       31.16       0.9446      0.1437      1.595       55.89       13.97       0.008663    0.6995      0.0876      0.5982      
